,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
330,T330,T330,David Lutterus,25,0.1,"$123,168","$126,800,000"
331,T330,T330,Chris Rogers,2,0.1,"$11,704","$11,600,000"
332,T330,T330,Phil Tataurangi,4,0.1,"$19,449","$18,800,000"
333,T330,T330,Vance Veazey,23,0.1,"$111,369","$116,300,000"
334,T330,T330,Manuel Villegas,2,0.1,"$9,481","$9,100,000"
335,T330,T330,Willie Wood,2,0.1,"$6,540","$6,600,000"
336,T337,T337,Eric Axley,6,0.09,"$24,124","$27,300,000"
337,T337,T337,Steve Lowery,25,0.09,"$118,601","$131,600,000"
338,T337,T337,Len Mattiace,6,0.09,"$22,200","$25,400,000"
339,T337,T337,Ryuichi Oda,2,0.09,"$11,165","$12,500,000"
340,T341,T341,Michael Clark II,6,0.08,"$21,044","$25,800,000"
341,T341,T341,Jeff Gove,22,0.08,"$92,154","$108,900,000"
342,T341,T341,Jerod Turner,21,0.08,"$91,343","$111,400,000"
343,T344,T344,Chris Baryla,7,0.07,"$24,254","$34,900,000"
344,T344,T344,Brent Delahoussaye,21,0.07,"$69,708","$104,100,000"
345,T344,T344,Robin Freeman,4,0.07,"$13,062","$18,300,000"
346,T344,T344,Hiroyuki Fujita,4,0.07,"$18,368","$26,000,000"
347,T344,T344,Aaron Goldberg,3,0.07,"$10,615","$15,600,000"
348,T344,T344,Todd Hamilton,20,0.07,"$77,608","$105,900,000"
349,T344,T344,J.L. Lewis,4,0.07,"$12,960","$19,700,000"
350,T351,T351,Brad Adamonis,4,0.06,"$12,060","$21,900,000"
351,T351,T351,Justin Bolli,23,0.06,"$73,990","$115,600,000"
352,T351,T351,Mark Brooks,14,0.06,"$46,360","$72,100,000"
353,T351,T351,Chris Wilson,26,0.06,"$76,481","$132,300,000"
354,T355,T355,Brad Faxon,23,0.05,"$55,482","$122,500,000"
355,T355,T355,"Jim Gallagher, Jr.",3,0.05,"$6,552","$12,200,000"
356,T355,T355,Kevin Johnson,26,0.05,"$69,806","$134,600,000"
357,T355,T355,Greg Kraft,22,0.05,"$52,176","$110,200,000"
358,T355,T355,Parker McLachlin,20,0.05,"$53,291","$106,300,000"
359,T355,T355,Andrew McLardy,21,0.05,"$53,106","$104,200,000"
360,T355,T355,Chris Smith,10,0.05,"$23,400","$48,100,000"
361,T362,T362,Tommy Armour III,5,0.04,"$11,130","$29,000,000"
362,T362,T362,Spike McRoy,4,0.04,"$6,840","$18,300,000"
363,T364,T364,Matt Hill,5,0.03,"$7,305","$25,400,000"
364,T364,T364,Jesper Parnevik,5,0.03,"$9,165","$26,900,000"
365,T364,T364,Marc Turnesa,7,0.03,"$10,158","$38,700,000"
